"","RowID","Distillery","Body","Sweetness","Smoky","Medicinal","Tobacco","Honey","Spicy","Winey","Nutty","Malty","Fruity","Floral","Postcode","Latitude","Longitude","whiskies.Latitude","whiskies.Longitude"
"1",1,"Aberfeldy",2,2,2,0,0,2,1,2,2,2,2,2," 	PH15 2EB",286580,749680,-3.85019901290135,56.6251911499812
"2",2,"Aberlour",3,3,1,0,0,4,3,2,2,3,3,2," 	AB38 9PJ",326340,842570,-3.22964387692912,57.4673947305931
"3",3,"AnCnoc",1,3,2,0,0,2,0,0,2,2,3,2," 	AB5 5LI",352960,839320,-2.78529460523676,57.4417508436895
"4",4,"Ardbeg",4,1,4,4,0,0,2,0,1,2,1,0," 	PA42 7EB",141560,646220,-6.1085028918706,55.6406069251726
"5",5,"Ardmore",2,2,2,0,0,1,1,1,2,3,1,1," 	AB54 4NH",355350,829140,-2.74362851648763,57.3505569832833
"6",6,"ArranIsleOf",2,3,1,1,0,1,1,1,0,1,1,2," KA27 8HJ",194050,649950,-5.27889464413061,55.6991454270982
"7",7,"Auchentoshan",0,2,0,0,0,1,1,0,2,2,3,3," G81 4SJ",247670,672610,-4.43933887549542,55.922373096285
"8",8,"Auchroisk",2,3,1,0,0,2,1,2,2,2,2,1," 	AB55 3XS",340754,848623,-2.9908649053478,57.523871926781
"9",9,"Aultmore",2,2,1,0,0,1,0,0,2,2,2,2," 	AB55 3QY",340754,848623,-2.9908649053478,57.523871926781
"10",10,"Balblair",2,3,2,1,0,0,2,0,2,1,2,1," 	IV19 1LB",270820,885770,-4.17774918666713,57.8427350006672
"11",11,"Balmenach",4,3,2,0,0,2,1,3,3,0,1,2," 	PH26 3PF",307750,827170,-3.53365578129333,57.3257094050057
"12",12,"Belvenie",3,2,1,0,0,3,2,1,0,2,2,2," 	AB55 4DH",332680,840840,-3.1234966962616,57.45284420338
"13",13,"BenNevis",4,2,2,0,0,2,2,0,2,2,2,2," 	PH33 6TJ",212600,775710,-5.07341796092794,56.83495218623
"14",14,"Benriach",2,2,1,0,0,2,2,0,0,2,3,2," 	IV30 8SJ",323450,858380,-3.28278923249236,57.6088927727877
"15",15,"Benrinnes",3,2,2,0,0,3,1,1,2,3,2,2," 	AB38 9NN",325800,839920,-3.23783921683323,57.4435083974772
